date,league_id,league_name,map_id,map_name,winner_id,winner_name,winner_race,loser_id,loser_name,loser_race
2012-04-19,2620,2012_GSL_S2_Code_S,499,Dual_Sight_1.1,590,MVP,Terran,1971,Leenock,Zerg
2012-04-19,2620,2012_GSL_S2_Code_S,500,Antiga_Shipyard_1.2,590,MVP,Terran,1971,Leenock,Zerg
2012-04-19,2620,2012_GSL_S2_Code_S,527,Entombed_Valley,1971,Leenock,Zerg,590,MVP,Terran
2012-04-19,2620,2012_GSL_S2_Code_S,538,Atlantis_Spaceship_SE,1971,Leenock,Zerg,117,July,Zerg
2012-04-19,2620,2012_GSL_S2_Code_S,510,ESV_Cloud_Kingdom,1971,Leenock,Zerg,117,July,Zerg
2012-04-19,2620,2012_GSL_S2_Code_S,479,Daybreak,222,HerO,Protoss,590,MVP,Terran
2012-04-19,2620,2012_GSL_S2_Code_S,500,Antiga_Shipyard_1.2,590,MVP,Terran,222,HerO,Protoss
2012-04-19,2620,2012_GSL_S2_Code_S,510,ESV_Cloud_Kingdom,222,HerO,Protoss,590,MVP,Terran
2012-04-19,2620,2012_GSL_S2_Code_S,527,Entombed_Valley,222,HerO,Protoss,1971,Leenock,Zerg
2012-04-19,2620,2012_GSL_S2_Code_S,538,Atlantis_Spaceship_SE,1971,Leenock,Zerg,222,HerO,Protoss
2012-04-19,2620,2012_GSL_S2_Code_S,528,Metropolis,222,HerO,Protoss,1971,Leenock,Zerg
2012-04-19,2620,2012_GSL_S2_Code_S,500,Antiga_Shipyard_1.2,590,MVP,Terran,117,July,Zerg
2012-04-19,2620,2012_GSL_S2_Code_S,538,Atlantis_Spaceship_SE,117,July,Zerg,590,MVP,Terran
2012-04-19,2620,2012_GSL_S2_Code_S,521,ESV_Ohana_RE,590,MVP,Terran,117,July,Zerg
2012-04-18,2620,2012_GSL_S2_Code_S,510,ESV_Cloud_Kingdom,26,SuperNoVa,Terran,686,Virus,Terran
2012-04-18,2620,2012_GSL_S2_Code_S,479,Daybreak,26,SuperNoVa,Terran,686,Virus,Terran
2012-04-18,2620,2012_GSL_S2_Code_S,479,Daybreak,26,SuperNoVa,Terran,1894,Genius,Protoss
2012-04-18,2620,2012_GSL_S2_Code_S,521,ESV_Ohana_RE,26,SuperNoVa,Terran,1894,Genius,Protoss
2012-04-18,2620,2012_GSL_S2_Code_S,500,Antiga_Shipyard_1.2,1614,NaNiwa,Protoss,686,Virus,Terran
2012-04-18,2620,2012_GSL_S2_Code_S,521,ESV_Ohana_RE,1614,NaNiwa,Protoss,686,Virus,Terran
2012-04-18,2620,2012_GSL_S2_Code_S,510,ESV_Cloud_Kingdom,686,Virus,Terran,26,SuperNoVa,Terran
