State FIPS,County FIPS,Postal,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
01,000,AL,Alabama,"883,078","867,106","899,050",18.9,18.6,19.2,"305,292","296,223","314,361",27.4,26.6,28.2,"207,778","199,900","215,656",25.6,24.6,26.6,"40,538","40,081","40,995","93,895","89,540","98,250",31.3,29.8,32.8
01,001,AL,Autauga County,"6,459","5,075","7,843",11.9,9.3,14.5,"2,530","1,956","3,104",17.5,13.5,21.5,"1,791","1,397","2,185",16.4,12.8,20.0,"53,049","49,486","56,612",,,,,,
01,003,AL,Baldwin County,"24,056","20,333","27,779",13.3,11.2,15.4,"8,357","6,775","9,939",20.2,16.4,24.0,"5,734","4,655","6,813",18.9,15.3,22.5,"47,618","45,169","50,067",,,,,,
01,005,AL,Barbour County,"6,098","4,749","7,447",25.3,19.7,30.9,"2,145","1,641","2,649",36.2,27.7,44.7,"1,458","1,114","1,802",34.3,26.2,42.4,"33,074","30,589","35,559",,,,,,
01,007,AL,Bibb County,"4,316","3,344","5,288",20.9,16.2,25.6,"1,448","1,100","1,796",28.6,21.7,35.5,938,705,"1,171",25.3,19.0,31.6,"35,472","32,578","38,366",,,,,,
01,009,AL,Blount County,"9,358","7,771","10,945",16.5,13.7,19.3,"3,356","2,731","3,981",24.1,19.6,28.6,"2,202","1,755","2,649",21.3,17.0,25.6,"42,906","39,577","46,235",,,,,,
01,011,AL,Bullock County,"2,866","2,165","3,567",31.1,23.5,38.7,958,726,"1,190",40.3,30.5,50.1,655,499,811,39.5,30.1,48.9,"25,969","23,485","28,453",,,,,,
01,013,AL,Butler County,"5,791","4,830","6,752",28.1,23.4,32.8,"1,971","1,593","2,349",39.6,32.0,47.2,"1,405","1,150","1,660",38.9,31.8,46.0,"29,500","26,759","32,241",,,,,,
01,015,AL,Calhoun County,"27,152","24,332","29,972",23.5,21.1,25.9,"8,373","7,097","9,649",31.5,26.7,36.3,"5,992","5,118","6,866",30.8,26.3,35.3,"37,916","35,408","40,424",,,,,,
01,017,AL,Chambers County,"9,618","8,491","10,745",28.5,25.2,31.8,"3,290","2,855","3,725",43.5,37.7,49.3,"2,154","1,808","2,500",38.2,32.1,44.3,"30,061","27,603","32,519",,,,,,
01,019,AL,Cherokee County,"5,434","4,350","6,518",21.2,17.0,25.4,"1,816","1,421","2,211",33.1,25.9,40.3,"1,240",969,"1,511",30.2,23.6,36.8,"34,410","31,299","37,521",,,,,,
01,021,AL,Chilton County,"8,813","7,196","10,430",20.4,16.7,24.1,"3,447","2,768","4,126",32.0,25.7,38.3,"2,405","1,937","2,873",30.8,24.8,36.8,"38,553","35,289","41,817",,,,,,
01,023,AL,Choctaw County,"2,826","2,186","3,466",20.7,16.0,25.4,922,696,"1,148",29.9,22.6,37.2,614,464,764,26.2,19.8,32.6,"32,003","29,087","34,919",,,,,,
01,025,AL,Clarke County,"6,332","5,218","7,446",24.9,20.5,29.3,"2,110","1,649","2,571",33.5,26.2,40.8,"1,444","1,135","1,753",29.8,23.4,36.2,"33,739","30,531","36,947",,,,,,
01,027,AL,Clay County,"2,802","2,243","3,361",20.6,16.5,24.7,918,704,"1,132",29.8,22.9,36.7,644,498,790,28.1,21.7,34.5,"33,035","29,911","36,159",,,,,,
01,029,AL,Cleburne County,"2,621","2,052","3,190",17.8,13.9,21.7,932,722,"1,142",26.8,20.8,32.8,650,506,794,25.5,19.9,31.1,"37,566","34,351","40,781",,,,,,
01,031,AL,Coffee County,"9,939","8,739","11,139",20.1,17.7,22.5,"3,588","3,105","4,071",30.0,26.0,34.0,"2,639","2,316","2,962",30.5,26.8,34.2,"40,779","38,409","43,149",,,,,,
01,033,AL,Colbert County,"10,329","8,822","11,836",19.2,16.4,22.0,"3,812","3,218","4,406",32.2,27.2,37.2,"2,620","2,212","3,028",30.0,25.3,34.7,"37,455","34,320","40,590",,,,,,
01,035,AL,Conecuh County,"3,378","2,597","4,159",25.7,19.7,31.7,"1,229",927,"1,531",41.0,30.9,51.1,860,655,"1,065",38.6,29.4,47.8,"27,855","25,193","30,517",,,,,,
01,037,AL,Coosa County,"2,125","1,652","2,598",18.6,14.5,22.7,687,522,852,29.5,22.4,36.6,477,362,592,26.9,20.4,33.4,"33,721","30,616","36,826",,,,,,
01,039,AL,Covington County,"7,769","6,508","9,030",20.9,17.5,24.3,"2,532","2,009","3,055",30.2,24.0,36.4,"1,753","1,379","2,127",28.5,22.4,34.6,"33,484","31,004","35,964",,,,,,
01,041,AL,Crenshaw County,"2,783","2,154","3,412",20.3,15.7,24.9,983,747,"1,219",30.3,23.0,37.6,673,515,831,27.7,21.2,34.2,"35,577","32,806","38,348",,,,,,
01,043,AL,Cullman County,"15,242","12,965","17,519",19.2,16.3,22.1,"4,899","4,007","5,791",26.8,21.9,31.7,"3,292","2,640","3,944",24.7,19.8,29.6,"37,948","34,886","41,010",,,,,,
01,045,AL,Dale County,"8,795","7,299","10,291",17.8,14.8,20.8,"3,152","2,517","3,787",25.6,20.4,30.8,"2,112","1,677","2,547",24.4,19.4,29.4,"41,287","38,448","44,126",,,,,,
01,047,AL,Dallas County,"15,391","13,537","17,245",35.6,31.3,39.9,"6,441","5,707","7,175",56.5,50.1,62.9,"4,416","3,853","4,979",53.8,46.9,60.7,"26,195","23,874","28,516",,,,,,
01,049,AL,DeKalb County,"14,586","11,756","17,416",20.8,16.8,24.8,"5,698","4,513","6,883",31.6,25.0,38.2,"4,024","3,219","4,829",30.8,24.6,37.0,"34,822","32,105","37,539",,,,,,
01,051,AL,Elmore County,"9,276","7,393","11,159",12.5,10.0,15.0,"3,409","2,634","4,184",18.4,14.2,22.6,"2,352","1,833","2,871",17.2,13.4,21.0,"51,013","48,003","54,023",,,,,,
01,053,AL,Escambia County,"9,135","7,604","10,666",26.1,21.7,30.5,"3,029","2,466","3,592",35.6,29.0,42.2,"1,996","1,599","2,393",32.5,26.0,39.0,"31,365","28,897","33,833",,,,,,
01,055,AL,Etowah County,"19,457","16,333","22,581",19.0,15.9,22.1,"6,777","5,470","8,084",28.8,23.2,34.4,"4,566","3,646","5,486",26.3,21.0,31.6,"36,088","34,251","37,925",,,,,,
01,057,AL,Fayette County,"4,635","3,960","5,310",27.3,23.3,31.3,"1,360","1,110","1,610",36.0,29.4,42.6,957,789,"1,125",34.3,28.3,40.3,"32,643","29,639","35,647",,,,,,
01,059,AL,Franklin County,"6,787","5,574","8,000",21.6,17.7,25.5,"2,644","2,094","3,194",34.2,27.1,41.3,"1,815","1,413","2,217",33.0,25.7,40.3,"33,649","30,884","36,414",,,,,,
